institution,page_title,program_name,credential,campus,source_url,admission_type,minimum_average,competitive_average,english_requirement,math_requirement,required_courses,other_requirements,notes_uncertain
MacEwan,Community Justice and Corrections | MacEwan University Academic Catalog,Community Justice and Corrections,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/community-justice-and-corrections,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Community Justice and Corrections | MacEwan University Academic Catalog,Community Justice and Corrections,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/community-justice-and-corrections/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Early Learning and Child Care | MacEwan University Academic Catalog,Early Learning and Child Care,,,https://calendar.macewan.ca/programs/certificates-diplomas/early-learning-child-care/,,,,,,[],[],"[""Raw text contains only the phrase 'admission requirements.' and no details.""]"
MacEwan,Educational Assistant | MacEwan University Academic Catalog,Educational Assistant,Certificate,City Centre Campus,https://calendar.macewan.ca/programs/certificates-diplomas/educational-assistant/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Emergency Communications and Response Certificate | MacEwan University Academic Catalog,Emergency Communications and Response,Certificate,On-campus,https://calendar.macewan.ca/programs/certificates-diplomas/emergency-communications-response/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Hearing Aid Practitioner | MacEwan University Academic Catalog,Hearing Aid Practitioner,Diploma,Distance-delivery,https://calendar.macewan.ca/programs/certificates-diplomas/hearing-aid-practitioner/,,,,,,[],[],['No specific admission requirements listed in the provided text.']
MacEwan,Human Resources Management Certificate and Diploma | MacEwan University Academic Catalog,Human Resources Management,Certificate and Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/human-resources-management/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Insurance and Risk Management - Business Management Diploma | MacEwan University Academic Catalog,Insurance and Risk Management,Business Management Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/insurance-risk-management/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Investigative Studies - Police and Investigations | MacEwan University Academic Catalog,Investigative Studies,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/investigative-studies/,,,,,,[],[],"['Specific courses and averages are not listed in the text, though the program is noted as competitive.']"
MacEwan,Library and Information Technology Diploma | MacEwan University Academic Catalog,Library and Information Technology,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/library-information-technology/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Massage Therapy | MacEwan University Academic Catalog,Massage Therapy,,,https://calendar.macewan.ca/programs/certificates-diplomas/massage-therapy/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Administrative - Office Assistant Certificate | MacEwan University Academic Catalog,Office Assistant - Administrative major,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-administrative/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Legal - Office Assistant Certificate | MacEwan University Academic Catalog,Office Assistant - Legal major,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-legal/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Medical - Office Assistant Certificate | MacEwan University Academic Catalog,Office Assistant - Medical major,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-medical/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Paralegal Studies Diploma | MacEwan University Academic Catalog,Paralegal Studies,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/paralegal-studies/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Physical Therapist Assistant / Occupational Therapist Assistant Diploma | MacEwan University Academic Catalog,Physical Therapist Assistant / Occupational Therapist Assistant,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/physical-occupational-therapist-assistant/,,,,,,[],[],['Specific courses and averages are not listed in the text.']
MacEwan,Police Studies - Police and Investigations Diploma | MacEwan University Academic Catalog,Police Studies,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/police-studies/,,,,,,[],[],['Specific courses and averages are not listed in the text.']
MacEwan,Public Relations Diploma - Suspended | MacEwan University Academic Catalog,Public Relations,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/public-relations/,,,,,,[],[],"['Program is suspended according to page title.', 'No specific courses or grades listed.']"
MacEwan,Social Work Diploma | MacEwan University Academic Catalog,Social Work,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/social-work/,,,,,,[],[],['No specific admission requirements listed in the text.']
MacEwan,Speech Language Pathologist Assistant Diploma | MacEwan University Academic Catalog,Speech Language Pathologist Assistant,Diploma,City Centre Campus,https://calendar.macewan.ca/programs/certificates-diplomas/speech-language-pathologist-assistant/,,,,,,[],[],['Specific courses and averages are not listed in the text.']
MacEwan,Travel and Tourism | MacEwan University Academic Catalog,Travel and Tourism,,,https://calendar.macewan.ca/programs/certificates-diplomas/travel/,,,,,,[],[],['No specific admission requirements listed in the text.']
MacEwan,Anthropology - Bachelor of Arts | MacEwan University Academic Catalog,Anthropology (Major/Minor/Honours),Bachelor of Arts,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/ba-anthropology/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements like high school grades.']"
MacEwan,Economics - Bachelor of Arts | MacEwan University Academic Catalog,Economics (Major/Minor/Honours),Bachelor of Arts,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/ba-economics/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements like high school grades.']"
MacEwan,English - Bachelor of Arts | MacEwan University Academic Catalog,English (Major/Minor/Honours),Bachelor of Arts,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/ba-english/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements like high school grades.']"
MacEwan,Minors - Bachelor of Arts | MacEwan University Academic Catalog,Minors - Bachelor of Arts,Bachelor,,https://calendar.macewan.ca/programs/degree-programs/ba-minors/,,,,,,[],[],['not a program page']
MacEwan,Philosophy - Bachelor of Arts | MacEwan University Academic Catalog,Philosophy (Major/Minor),Bachelor of Arts,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/ba-philosophy/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements like high school grades.']"
MacEwan,Political Science - Bachelor of Arts | MacEwan University Academic Catalog,Political Science (Major/Minor/Honours),Bachelor of Arts,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/ba-political-science/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements like high school grades.']"
MacEwan,Psychology - Bachelor of Arts | MacEwan University Academic Catalog,Psychology (Major/Minor/Honours),Bachelor of Arts,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/ba-psychology/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements like high school grades.']"
MacEwan,Sociology - Bachelor of Arts | MacEwan University Academic Catalog,Sociology (Major/Minor/Honours),Bachelor of Arts,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/ba-sociology/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements like high school grades.']"
MacEwan,Bachelor of Arts Undeclared | MacEwan University Academic Catalog,Bachelor of Arts Undeclared,Bachelor of Arts,,https://calendar.macewan.ca/programs/degree-programs/ba-undeclared/,,,,,,[],[],"['The provided text is a general BA program overview, not a specific list of high school admission requirements.']"
MacEwan,Accounting - Bachelor of Commerce | MacEwan University Academic Catalog,Accounting (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-accounting/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements for high school applicants.']"
MacEwan,Human Resources Management - Bachelor of Commerce | MacEwan University Academic Catalog,Human Resources Management (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-human-resources-management/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements for high school applicants.']"
MacEwan,International Business - Bachelor of Commerce | MacEwan University Academic Catalog,International Business (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-international-business/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements for high school applicants.']"
MacEwan,Legal Studies in Business - Bachelor of Commerce | MacEwan University Academic Catalog,Legal Studies in Business (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-legal-studies-business/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements for high school applicants.']"
MacEwan,Management - Bachelor of Commerce | MacEwan University Academic Catalog,Management (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-management/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements for high school applicants.']"
MacEwan,Marketing - Bachelor of Commerce | MacEwan University Academic Catalog,Marketing (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-marketing/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements for high school applicants.']"
MacEwan,Minors - Bachelor of Commerce | MacEwan University Academic Catalog,Minors - Bachelor of Commerce,Bachelor,,https://calendar.macewan.ca/programs/degree-programs/bcom-minors/,,,,,,[],[],['not a program page']
MacEwan,Supply Chain Management - Bachelor of Commerce | MacEwan University Academic Catalog,Supply Chain Management (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-supply-chain-management/,,,,,,[],[],"['The provided text is a program description, not a specific list of admission requirements for high school applicants.']"
MacEwan,Bachelor of Commerce - Undeclared | MacEwan University Academic Catalog,Bachelor of Commerce Undeclared,Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-undeclared/,,,,,,[],[],"['The provided text is a general Bachelor of Commerce description, not a specific list of admission requirements.']"
MacEwan,Journalism Major - Bachelor of Communication Studies | MacEwan University Academic Catalog,Journalism (Major),Bachelor of Communication Studies,,https://calendar.macewan.ca/programs/degree-programs/bcs-journalism/,,,,,,[],[],['Specific high school admission requirements are not listed in the provided text.']
MacEwan,Professional Communication Major - Bachelor of Communication Studies | MacEwan University Academic Catalog,Professional Communication (Major),Bachelor of Communication Studies,,https://calendar.macewan.ca/programs/degree-programs/bcs-professional-communication/,,,,,,[],[],['Specific high school admission requirements are not listed in the provided text.']
MacEwan,Public Relations Major - Bachelor of Communication Studies | MacEwan University Academic Catalog,Public Relations (Major),Bachelor of Communication Studies,,https://calendar.macewan.ca/programs/degree-programs/bcs-public-relations/,,,,,,[],[],['Specific high school admission requirements are not listed in the provided text.']
MacEwan,Child and Youth Care - Bachelor of Child and Youth Care | MacEwan University Academic Catalog,Child and Youth Care,Bachelor of Child and Youth Care,,https://calendar.macewan.ca/programs/degree-programs/bcyc-child-youth-care/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Design - Bachelor of Design | MacEwan University Academic Catalog,Design,Bachelor of Design,,https://calendar.macewan.ca/programs/degree-programs/bdes-design/,,,,,,[],[],['Specific high school admission requirements are not listed in the provided text.']
MacEwan,Digital Experience Design Major - Bachelor of Design | MacEwan University Academic Catalog,Digital Experience Design (Major),Bachelor of Design,,https://calendar.macewan.ca/programs/degree-programs/bdes-digital-experience-design/,,,,,,[],[],['Specific high school admission requirements are not listed in the provided text.']
MacEwan,Bachelor of Early Childhood Curriculum Studies | MacEwan University Academic Catalog,Early Childhood Curriculum Studies (BECCS),Bachelor of Early Childhood Curriculum Studies,,https://calendar.macewan.ca/programs/degree-programs/beccs-early-childhood-curriculum-studies/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Arts and Cultural Management – Bachelor of Fine Arts | MacEwan University Academic Catalog,Arts and Cultural Management (Major),Bachelor of Fine Arts,,https://calendar.macewan.ca/programs/degree-programs/bfa-arts-and-cultural-management/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Music Theatre Performance – Bachelor of Fine Arts | MacEwan University Academic Catalog,Music Theatre Performance (Major),Bachelor of Fine Arts,,https://calendar.macewan.ca/programs/degree-programs/bfa-music-theatre-performance/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Studio Arts – Bachelor of Fine Arts | MacEwan University Academic Catalog,Studio Arts (Major),Bachelor of Fine Arts,,https://calendar.macewan.ca/programs/degree-programs/bfa-studio-arts/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Theatre Production – Bachelor of Fine Arts | MacEwan University Academic Catalog,Theatre Production (Major),Bachelor of Fine Arts,,https://calendar.macewan.ca/programs/degree-programs/bfa-theatre-production/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Composition Major – Bachelor of Music | MacEwan University Academic Catalog,Composition Major – Bachelor of Music,Bachelor,,https://calendar.macewan.ca/programs/degree-programs/bmus-composition/,,,,,,[],[],
MacEwan,General Major - Bachelor of Music | MacEwan University Academic Catalog,General (Major),Bachelor of Music,,https://calendar.macewan.ca/programs/degree-programs/bmus-general/,,,,,,[],[],['Specific high school admission requirements are not listed in the provided text.']
MacEwan,Performance Major - Bachelor of Music | MacEwan University Academic Catalog,Performance (Major),Bachelor of Music,,https://calendar.macewan.ca/programs/degree-programs/bmus-performance/,,,,,,[],[],['Specific high school admission requirements are not listed in the provided text.']
MacEwan,Recording and Production Major - Bachelor of Music | MacEwan University Academic Catalog,Recording and Production (Major),Bachelor of Music,,https://calendar.macewan.ca/programs/degree-programs/bmus-recording-production/,,,,,,[],[],['Specific high school admission requirements are not listed in the provided text.']
MacEwan,Psychiatric Nursing - Bachelor of Psychiatric Nursing | MacEwan University Academic Catalog,Psychiatric Nursing,Bachelor of Psychiatric Nursing,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bpn-psychiatric-nursing/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Bachelor of Public Safety and Justice | MacEwan University Academic Catalog,Bachelor of Public Safety and Justice,Bachelor of Public Safety and Justice,,https://calendar.macewan.ca/programs/degree-programs/bpsj-public-safety-and-justice/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Applied Statistics - Bachelor of Science | MacEwan University Academic Catalog,Applied Statistics (Major/Honours),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-applied-statistics/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Biological Sciences - Bachelor of Science | MacEwan University Academic Catalog,Biological Sciences,Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-biological-sciences/,,,,,,[],[],['Raw text contains no admission detail for this row.']
MacEwan,Chemistry - Bachelor of Science | MacEwan University Academic Catalog,Chemistry (Major),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-chemistry/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Computer Science - Bachelor of Science | MacEwan University Academic Catalog,Computer Science (Major),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-computer-science/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Data Science - Bachelor of Science | MacEwan University Academic Catalog,Data Science (Major),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-data-science/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Environmental Sciences - Bachelor of Science | MacEwan University Academic Catalog,Environmental Sciences (Major),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-environmental-science/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Mathematical Sciences - Bachelor of Science | MacEwan University Academic Catalog,Mathematical Sciences (Major),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-mathematical-sciences/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Mathematics - Bachelor of Science | MacEwan University Academic Catalog,Mathematics (Major/Honours),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-mathematics/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Minors - Bachelor of Science | MacEwan University Academic Catalog,Minors - Bachelor of Science,Bachelor,,https://calendar.macewan.ca/programs/degree-programs/bsc-minors/,,,,,,[],[],['not a program page']
MacEwan,Physical Sciences - Bachelor of Science | MacEwan University Academic Catalog,Physical Sciences (Major),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-physical-sciences/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Psychology - Bachelor of Science | MacEwan University Academic Catalog,Psychology (Major/Minor/Honours),Bachelor of Science,City Centre Campus,https://calendar.macewan.ca/programs/degree-programs/bsc-psychology/,,,,,,[],[],"['The provided text is a program description, not a specific list of high school admission requirements.']"
MacEwan,Bachelor of Science Undeclared | MacEwan University Academic Catalog,Bachelor of Science Undeclared,Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-undeclared/,,,,,,[],[],"['The provided text is a general Bachelor of Science description, not a specific list of admission requirements.']"
MacEwan,Nursing - Bachelor of Science in Nursing | MacEwan University Academic Catalog,Nursing,Bachelor of Science in Nursing,,https://calendar.macewan.ca/programs/degree-programs/bscn-nursing/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Social Work - Bachelor of Social Work | MacEwan University Academic Catalog,Social Work,Bachelor of Social Work,,https://calendar.macewan.ca/programs/degree-programs/bsw-social-work/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,"Childhood, Youth, and Family Studies Minor | MacEwan University Academic Catalog","Childhood, Youth, and Family Studies Minor",Minor,,https://calendar.macewan.ca/programs/degree-programs/childhood-youth-family-studies/,,,,,,[],[],['not a program page']
MacEwan,Minors - Fine Arts and Communication | MacEwan University Academic Catalog,Minors - Fine Arts and Communication,,,https://calendar.macewan.ca/programs/degree-programs/ffac-minors/,,,,,,[],[],['not a program page']
MacEwan,Accounting Minor | MacEwan University Academic Catalog,Accounting Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-accounting/,,,,,,[],[],['not a program page']
MacEwan,Arts and Cultural Management | MacEwan University Academic Catalog,Arts and Cultural Management,,,https://calendar.macewan.ca/programs/min-babs-arts-cultural-management/,,,,,,[],[],['not a program page']
MacEwan,Business Law Minor | MacEwan University Academic Catalog,Business Law Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-business-law/,,,,,,[],[],['not a program page']
MacEwan,Business Studies Minor | MacEwan University Academic Catalog,Business Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-business-studies/,,,,,,[],[],['not a program page']
MacEwan,Classics Minor | MacEwan University Academic Catalog,Classics Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-classics/,,,,,,[],[],['not a program page']
MacEwan,Creative Writing Minor | MacEwan University Academic Catalog,Creative Writing Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-creative-writing/,,,,,,[],[],['not a program page']
MacEwan,Cybersecurity Studies Minor | MacEwan University Academic Catalog,Cybersecurity Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-cybersecurity-studies/,,,,,,[],[],['not a program page']
MacEwan,Digital Experience Design | MacEwan University Academic Catalog,Digital Experience Design,,,https://calendar.macewan.ca/programs/min-babs-digital-experience-design/,,,,,,[],[],['not a program page']
MacEwan,Earth and Planetary Sciences Minor | MacEwan University Academic Catalog,Earth and Planetary Sciences Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-earth-planetary-sciences/,,,,,,[],[],['not a program page']
MacEwan,Environmental Sciences Minor | MacEwan University Academic Catalog,Environmental Sciences Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-environmental-sciences/,,,,,,[],[],['not a program page']
MacEwan,Film Minor | MacEwan University Academic Catalog,Film Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-film/,,,,,,[],[],['not a program page']
MacEwan,Finance Minor | MacEwan University Academic Catalog,Finance Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-finance/,,,,,,[],[],['not a program page']
MacEwan,French Minor | MacEwan University Academic Catalog,French Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-french/,,,,,,[],[],['not a program page']
MacEwan,Gender Studies Minor | MacEwan University Academic Catalog,Gender Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-gender-studies/,,,,,,[],[],['not a program page']
MacEwan,Human Resources Management Minor | MacEwan University Academic Catalog,Human Resources Management Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-human-resource-management/,,,,,,[],[],['not a program page']
MacEwan,Indigegogy Minor | MacEwan University Academic Catalog,Indigegogy Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-indigegogy/,,,,,,[],[],['not a program page']
MacEwan,Marketing Minor | MacEwan University Academic Catalog,Marketing Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-marketing/,,,,,,[],[],['not a program page']
MacEwan,Physics Minor | MacEwan University Academic Catalog,Physics Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-physics/,,,,,,[],[],['not a program page']
MacEwan,Planetary Physics Minor | MacEwan University Academic Catalog,Planetary Physics Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-planetary-physics/,,,,,,[],[],['not a program page']
MacEwan,Spanish Minor | MacEwan University Academic Catalog,Spanish Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-spanish/,,,,,,[],[],['not a program page']
MacEwan,Urban Wellness Minor | MacEwan University Academic Catalog,Urban Wellness Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-urban-wellness/,,,,,,[],[],['not a program page']
MacEwan,Accounting Minor | MacEwan University Academic Catalog,Accounting Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-accounting/,,,,,,[],[],['not a program page']
MacEwan,Anthropology Minor | MacEwan University Academic Catalog,Anthropology Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-anthropology/,,,,,,[],[],['not a program page']
MacEwan,Business Intelligence Minor | MacEwan University Academic Catalog,Business Intelligence Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-business-intelligence/,,,,,,[],[],['not a program page']
MacEwan,Cybersecurity Studies Minor | MacEwan University Academic Catalog,Cybersecurity Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-cybersecurity-studies/,,,,,,[],[],['not a program page']
MacEwan,Digital Experience Design Minor | MacEwan University Academic Catalog,Digital Experience Design Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-digital-experience-design/,,,,,,[],[],['not a program page']
MacEwan,Economics Minor | MacEwan University Academic Catalog,Economics Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-economics/,,,,,,[],[],['not a program page']
MacEwan,Finance Minor | MacEwan University Academic Catalog,Finance Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-finance/,,,,,,[],[],['not a program page']
MacEwan,French Minor | MacEwan University Academic Catalog,French Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-french/,,,,,,[],[],['not a program page']
MacEwan,Human Resources Management Minor | MacEwan University Academic Catalog,Human Resources Management Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-human-resources-management/,,,,,,[],[],['not a program page']
MacEwan,Innovation and Entrepreneurship Minor | MacEwan University Academic Catalog,Innovation and Entrepreneurship Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-innovation-and-entrepreneurship/,,,,,,[],[],['not a program page']
MacEwan,International Business Minor | MacEwan University Academic Catalog,International Business Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-international-business/,,,,,,[],[],['not a program page']
MacEwan,Journalism Minor | MacEwan University Academic Catalog,Journalism Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-journalism/,,,,,,[],[],['not a program page']
MacEwan,Legal Studies in Business Minor | MacEwan University Academic Catalog,Legal Studies in Business Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-legal-studies-in-business/,,,,,,[],[],['not a program page']
MacEwan,Management Minor | MacEwan University Academic Catalog,Management Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-management/,,,,,,[],[],['not a program page']
MacEwan,Marketing Minor | MacEwan University Academic Catalog,Marketing Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-marketing/,,,,,,[],[],['not a program page']
MacEwan,Political Science Minor | MacEwan University Academic Catalog,Political Science Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-political-science/,,,,,,[],[],['not a program page']
MacEwan,Property Management Minor | MacEwan University Academic Catalog,Property Management Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-property-management/,,,,,,[],[],['not a program page']
MacEwan,Psychology Minor | MacEwan University Academic Catalog,Psychology Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-psychology/,,,,,,[],[],['not a program page']
MacEwan,Sociology Minor | MacEwan University Academic Catalog,Sociology Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-sociology/,,,,,,[],[],['not a program page']
MacEwan,Spanish Minor | MacEwan University Academic Catalog,Spanish Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-spanish/,,,,,,[],[],['not a program page']
MacEwan,Statistics Minor | MacEwan University Academic Catalog,Statistics Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-statistics/,,,,,,[],[],['not a program page']
