Program,Credential_Type,Min_Avg_Final,Competitive_Final,Eng_Req,Eng_Min,Eng_30_2_Allowed,Math_Req,Math_Min,Social_Req,Social_Min,Bio_30_Req,Chem_30_Req,Phys_30_Req,Sci_30_Req,Science_Min,Elective_Pool_Count,Pool_Allows_Group_A,Pool_Allows_Group_B,Pool_Allows_Group_C,Pool_Allows_Group_D,Status
Alberta Advantage Immigration Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
All other NAIT programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Alumni profile: Clifton Lofthaug,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Alumni profile: Jesse Tutt,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Alumni profile: Nicole Dunlop,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Animation (Area of Emphasis),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Apple iOS iPhone/iPad Mobile Developer,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Apprentice Sponsorship,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Apprenticeship Pathways,Apprenticeship,N/A,Employer Required,Grade 10-12 Equivalent,50,,Grade 10 Equivalent,50,,,No,No,No,No,50,,No,No,No,No,Active
Artisanal Food Market,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Bachelor of Business Administration (BBA) Co-operative Education,Degree,70,Minimum Only,English 30-1,50,No,Math 30-1,50,,,No,No,No,No,50,,No,No,No,No,Active
Basic Machine Centre Programming - Milling,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Basic Turning Centre Programming - Lathe,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Be Future Ready Form,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Become a Certified Digital Marketing Professional,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Before Your Student Applies,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Blockchain Smart Contract,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Breast Sonography,Diploma,75,Mid-to-high 80s,English 30-1,50,No,Math 30-1,50,,,Yes,Yes,No,No,50,,No,No,No,No,Active
Building a stronger foundation for construction to grow and succeed - Giving,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Business Continuity Management Program (BCMP) Sustainment,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Business Degree and Diploma Programs,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Business Innovation Showcase,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Business Risk Management,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
C/C++ Programming Language,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
CAMS Thank You Page,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
CLA: Programming Essentials in C,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
CPA Education Foundation bolsters business learning - Giving,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
CPA: Programming Essentials in C++,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Canadian Registered Safety Technician (CRST),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Career Mentorship,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Ceremony Schedule by Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Certified Risk Management Professional (CRMP),Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Chef in Residence,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Choosing Your NAIT Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Clean Energy,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Club Culinaire,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Competitive Entrance,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Computer Software Development (Area of Emphasis),Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Construction Leadership and Supervision (CLS),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Continuing Education Programs & Courses,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Core Programming,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Corporate Training Inquiry,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Credit Program Students,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Culinary Arts and Professional Food Studies,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Culinary Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Dental and Denture Clinic,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Digital Cinema (Area of Emphasis),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Digital Marketing,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Digital Marketing Associate Tracks,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Digital Marketing Professional Certification,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Digital Marketing Specialist,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Driving Net Zero,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Drone Training,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Emergency Medical Responder (EMR),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Energy Process Operator,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Engineering Students to Craft Rope Suspension Bridges across Whitemud Creek,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
English Summer Language Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Entrepreneurship Blue Book Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Entrepreneurship and Business Management,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
"Equity, Diversity, and Inclusion",Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Events & Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Explore your options,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
FAQ - Applying to a Program at NAIT,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Find a Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Fitness & Recreation Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Full Stack Development Bootcamp,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Fundamentals of Cloud Programming,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Game Design (Area of Emphasis),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Game Programming (Area of Emphasis),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Generative AI: From Concepts to Real-World Solution,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Get hands-on with NAIT programs at Open House,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Glossary of NAIT Terms - MyNAIT,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Guest Chef in Residence 2024,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Hazard Assessment Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Health Science,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Air Conditioning and Heat Pumps,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Communication and Professional Practice,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Electrical,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Exterior,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Heating I,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Heating II,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Insulation and Interior,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Plumbing,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Roofing,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Home Inspection Training Program: Structure,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Homeschool Students Form,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
How To Apply,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
ICON Student Managed Investment Fund,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
IGNITE Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
IT Business Analysis (Area of Emphasis),Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
IT System Administration (Area of Emphasis),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Implementing a Crisis Management Program,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Industry Engagement,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Innovation Challenge,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Interior Design Business Tools,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Intermediate Machine Centre Programming - Milling,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Intermediate Turning Centre Programming - Lathe,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
International Peer Group,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
International Society of Automation Courses,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
International Student Program Changes,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Interprofessional Education,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Introduction to CNC Programming,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Introduction to Programming,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Introduction to Reforestation,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
JR Shaw,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
JR Shaw School of Business,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
"JR Shaw School of Business Info Session - June 27, 2023",Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Jill of All Trades,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Join the ICON team,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Logo Design and Visual Identity,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Machine Learning and Artificial Intelligence Bootcamp,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Mastering Power BI,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Materials Testing Labs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Mature Student Form,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Mawji Centre for New Venture and Student Entrepreneurship,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Mawji Student Ambassador Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Mental Health and Well-Being,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Mentorship,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Mentorship at NAIT,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Microsoft Full-Stack Web Developer,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Microsoft Power Platform,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Apprenticeship Form,Apprenticeship,N/A,Employer Required,Grade 10-12 Equivalent,50,,Grade 10 Equivalent,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Bakes,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Code Word Form,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Event Check In,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Hiring Fair,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT International Culinary Exchange,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT International Sign Up,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Jill of all Trades Registration,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Launches Engagement Phase for Paused Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Next In Trades Registration,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Olympic Culinary Team,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Open House Contest,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Surveying and Geospatial Events,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT Work-Integrated Learning Project Chosen as One of 13 BHER-CEWIL Grant Initiative Recipients,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT joins program launch to help students from the Philippines study in Canada,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT launches 5 new programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT reviews programs for future growth and innovation,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT shifts to online lecture and theory program delivery until at least Jan. 21,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
NAIT’s JR Shaw School of Business launches Accountant-in-Residence program,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
National Payroll Institute Designation Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Network Security,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
"New NAIT program to bring more women-identifying individuals to construction, energy and manufacturi",Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
New drill rig operator program launched at NAIT,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
New pilot program aims to fast-track medical device innovation,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Newcomers & International Student Form,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Next in Trades,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Nokia Bell Labs 5G Certification,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Office of Apprenticeship,Apprenticeship,N/A,Employer Required,Grade 10-12 Equivalent,50,,Grade 10 Equivalent,50,,,No,No,No,No,50,,No,No,No,No,Active
Online Professional Development,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Open House,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Open Studies Pathway (School of Health and Life Sciences),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Outreach and Well-being Leaders (OWLs) Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Outreach and Well-being Leaders Engagement Team (OWLET),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Paramedicine Training at NAIT,Diploma,75,Mid-to-high 80s,English 30-1,50,No,Math 30-1,50,,,Yes,Yes,No,No,50,,No,No,No,No,Active
Partnership helps build careers in trades and technology - Giving,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Patient partners,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Payroll Professional Program,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Peer Mentorship,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Pitch it to Me,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Point-of-Care Ultrasound (POCUS),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Power Platform for SharePoint Online Owners,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Pre-Apprenticeship Courses,Apprenticeship,N/A,Employer Required,Grade 10-12 Equivalent,50,,Grade 10 Equivalent,50,,,No,No,No,No,50,,No,No,No,No,Active
Professional Development for Real Estate Professionals,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Program Availability,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Program Preview Registration - School of Health & Life Sciences,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Program Preview Registration - School of Skilled Trades,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Program Previews,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Programmable Logic Controller Level I,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
