override_key,institution,program,credential_type,status,source_page_url,include_or_exclude,signal_type,requirement_type_override,min_avg_override,elective_qty_override,avg_total_override,parent_admissions_url,requirements_selector,admissions_links_selector,proof_text,notes,needs_parent_source,manual_review_flag
nait-baist-information-systems-pathway,NAIT,Bachelor of Applied Information Systems Technology - Information Systems,Degree,Active,https://www.nait.ca/programs/baist-information-systems,include,pathway,regular_admission; notes: post-secondary pathway,,,,,,,Minimum entrance requirements: A related two-year IT diploma and a minimum GPA of 2.3 are required. Applicants without the diploma may qualify with 60 post-secondary credits. Proof of English Language Proficiency is required.,Post-secondary pathway degree entry; not direct Alberta high-school admission.,no,no
nait-baist-network-management-pathway,NAIT,Bachelor of Applied Information Systems Technology - Network Management,Degree,Active,https://www.nait.ca/programs/baist-network-management,include,pathway,regular_admission; notes: post-secondary pathway,,,,,,,Minimum entrance requirements: A related two-year IT diploma and a minimum GPA of 2.3 are required. Applicants without the diploma may qualify with 60 post-secondary credits. Proof of English Language Proficiency is required.,Post-secondary pathway degree entry; not direct Alberta high-school admission.,no,no
nait-btech-general-management-pathway,NAIT,Bachelor of Technology in Management - General Management,Degree,Active,https://www.nait.ca/programs/btech,include,pathway,regular_admission; notes: post-secondary pathway,,,,,,,Minimum entrance requirements: Successful completion of an accredited diploma or degree in engineering technology information technology applied science or health science with a minimum GPA of 2.7 is required. Proof of English Language Proficiency is required.,Post-secondary pathway degree entry; not direct Alberta high-school admission.,no,no
nait-btech-operations-management-pathway,NAIT,Bachelor of Technology in Management - Operations Management,Degree,Active,https://www.nait.ca/programs/btech-operationsmanagement,include,pathway,regular_admission; notes: post-secondary pathway,,,,,,,Minimum entrance requirements: Successful completion of an accredited diploma or degree in engineering technology information technology applied science or health science with a minimum GPA of 2.7 is required. Proof of English Language Proficiency is required.,Post-secondary pathway degree entry; not direct Alberta high-school admission.,no,no
nait-btech-project-management-pathway,NAIT,Bachelor of Technology in Management - Project Management,Degree,Active,https://www.nait.ca/programs/btech-projectmanagement,include,pathway,regular_admission; notes: post-secondary pathway,,,,,,,Minimum entrance requirements: Successful completion of an accredited diploma or degree in engineering technology information technology applied science or health science with a minimum GPA of 2.7 is required. Proof of English Language Proficiency is required.,Post-secondary pathway degree entry; not direct Alberta high-school admission.,no,no
nait-btech-sustainability-management-pathway,NAIT,Bachelor of Technology in Management - Sustainability Management,Degree,Active,https://www.nait.ca/programs/btech-sustainabilitymanagement,include,pathway,regular_admission; notes: post-secondary pathway,,,,,,,Minimum entrance requirements: Successful completion of an accredited diploma or degree in engineering technology information technology applied science or health science with a minimum GPA of 2.7 is required. Proof of English Language Proficiency is required.,Post-secondary pathway degree entry; not direct Alberta high-school admission.,no,no
nait-business-for-journeyperson-pathway,NAIT,Business for Journeyperson Pathway to a Business Administration - Management Diploma,Diploma,Active,https://www.nait.ca/programs/business-for-journeyperson-ba-management,include,pathway,regular_admission; notes: post-secondary pathway,,,,,,,The Business for Journeyperson Pathway to a Business Administration - Management Diploma is designed for individuals with a background in a Red Seal trade who are ready to take on leadership roles within their industry.,Pathway for Red Seal trade background; not direct Alberta high-school admission.,no,no
nait-trades-to-degrees-pathway,NAIT,Trades to Degrees Pathway to BBA Degree - Management Concentration,,Active,https://www.nait.ca/programs/trades-to-degrees,include,pathway,regular_admission; notes: post-secondary pathway,,,,https://www.nait.ca/nait/admissions/transfer-and-credit-options/pathways/trades-to-degrees,,,Trades to Degrees gives certified trades professionals a direct route into the third year of the Bachelor of Business Administration program.,Pathway for certified trades professionals; use pathway page as evidence source.,yes,no
macewan-acupuncture-07,MacEwan,Acupuncture,Other,Active,https://www.macewan.ca/academics/programs/acupuncture/admissions/requirements/index.html,include,avg_total,,60,Two,5,,"<div class=""accordion-cell-title collapsed"" tabindex=""0"">Regular admission<span class=""fa-solid fa-chevron-down closed-icon""></span><span class=""fa-solid fa-chevron-up open-icon""></span></div>","<div class=""accordion-cell-title collapsed"" tabindex=""0"">Regular admission<span class=""fa-solid fa-chevron-down closed-icon""></span><span class=""fa-solid fa-chevron-up open-icon""></span></div>","Applicants must have a minimum overall average of 60 percent, with no course grade lower than 50 percent, in the following high school courses: ELA 30-1 or ELA 30-2 One of Biology 30, Chemistry 30 or Science 30 One subject from Group C Two subjects from Group A, B, C or D","button to open regular admission categories <div class=""accordion-cell-title collapsed"" tabindex=""0"">Regular admission<span class=""fa-solid fa-chevron-down closed-icon""></span><span class=""fa-solid fa-chevron-up open-icon""></span></div>. and the actual competitive admission rates are <div class=""textflow-block col-12 ""> <h3>Competitive criteria</h3> <table class=""table-invertible processed"" style=""visibility: visible;""> <tbody> <tr class=""mobile-hidden""> <th width=""40%"">&nbsp;</th> <th width=""30%"">2025/26 AVERAGE</th> <th width=""30%"">2026/27 AVERAGE</th> </tr> <tr> <td class=""mobile-heading""><div class=""mobile-value""><strong>Regular/mature admission</strong></div></td> <td> <div class=""mobile-label"">2025/26 AVERAGE</div> <div class=""mobile-value""> <p>mid 70s to high 80s</p> </div></td> <td> <div class=""mobile-label"">2026/27 AVERAGE</div> <div class=""mobile-value""> <p>mid 70s to high 80s</p> </div></td> </tr> <tr> <td class=""mobile-heading""><div class=""mobile-value""><strong>Previous post-secondary admission</strong></div></td> <td> <div class=""mobile-label"">2025/26 AVERAGE</div> <div class=""mobile-value""> <p>2.7 to 3.7</p> </div></td> <td> <div class=""mobile-label"">2026/27 AVERAGE</div> <div class=""mobile-value""> <p>2.7 to 3.7</p> </div></td> </tr> </tbody> </table> </div> | MacEwan direct admissions-requirements template",no,no
macewan-accounting-technology-accounting-and-strategic-measurement-08,MacEwan,Accounting Technology | Accounting and Strategic Measurement,Other,Active,https://www.macewan.ca/academics/programs/accounting-and-strategic-measurement/admissions/requirements/index.html,include,inheritance,See Degree,65,Three,5,,"<div class=""accordion-cell-title collapsed"" tabindex=""0"">Regular admission<span class=""fa-solid fa-chevron-down closed-icon""></span><span class=""fa-solid fa-chevron-up open-icon""></span></div>","<div class=""accordion-cell-title collapsed"" tabindex=""0"">Regular admission<span class=""fa-solid fa-chevron-down closed-icon""></span><span class=""fa-solid fa-chevron-up open-icon""></span></div>","Applicants must have a minimum overall average of 65 percent, with no course grade lower than 50 percent, in the following high school courses: ELA 30-1 or ELA 30-2 Mathematics 30-1 or Mathematics 30-2 Three Subjects from Group A, B, C, or D","the element that has the requiresments are here <div class=""accordion-cell-text""><p class=""fineprint"">To be evaluated through the Office of the University Registrar</p> <p>Applicants must have a minimum overall average of 65 percent, with no course grade lower than 50 percent, in the following high school courses:</p> <ol> <li>ELA 30-1 or ELA 30-2</li> <li>Mathematics 30-1 or Mathematics 30-2</li> <li>Three Subjects from Group A, B, C, or D</li> </ol> <p><a class=""feature-glyph clean"" href=""https://www.MacEwan.ca/highschoolsubjects"" rel=""noopener"" target=""_blank"">Learn more about Group A, B, C or D courses</a></p> <h3>Notes:</h3> <ul> <li>Applicants are strongly encouraged to present a broad range of subjects in order to benefit from the breadth of learning and to increase flexibility of future program and course choices.</li> <li>A maximum of two Group B subjects may be presented; they must be from different disciplines.</li> <li>A maximum of one Group D subject may be presented. Group D subjects used for admission must be 5-credit or any credit combination of at least five credits (e.g.: two 3-credit subjects).</li> </ul> <p>Applicants with nine or more post-secondary level credits must also present a minimum Admission Grade Point Average of 2.0 on a 4.0 scale.</p> <p><a class=""feature-glyph clean"" href=""https://www.macewan.ca/AGPA"" rel=""noopener"" target=""_blank"" title=""Learn more about AGPA"">Learn more about AGPA</a></p></div> | MacEwan See Degree inheritance template",yes,no
macewan-biological-sciences-09,MacEwan,Biological Sciences,Other,Active,https://www.macewan.ca/academics/academic-departments/biological-sciences/academics/biological-sciences-major/,exclude,inheritance,,70,Check Notes,,,"<p>This major is open to students in the Bachelor of Science. Courses for your major are only one component of the degree requirements to graduate. To see all courses required for the major, check the program of study in the academic calendar.</p>","<p>This major is open to students in the Bachelor of Science. Courses for your major are only one component of the degree requirements to graduate. To see all courses required for the major, check the program of study in the academic calendar.</p>","This major is open to students in the Bachelor of Science. Courses for your major are only one component of the degree requirements to graduate. To see all courses required for the major, check the program of study in the academic calendar.",this is a major that is open to students in the bachelor of science so someone who is already enrolled so this is not applicable | MacEwan department-major template (likely inherited/complex rules),no,no
ualberta-arts-first-year-10,UAlberta,Arts (First-Year),Degree,Active,https://www.ualberta.ca/en/arts/programs/undergraduate-programs/admissions/index.html,include,avg_total,notes: Admission average uses 5 subjects (English 30-1 + 4 from Groups A/B/C); max 1 Group B; each subject must be >=50,70,Four,5,,"<span class=""text"">High School Students</span>","<div class=""card-header"" id=""heading0011""> <span>Arts</span> <button aria-controls=""collapse0011"" aria-expanded=""false"" aria-label=""Expand or Close Accordion"" class=""btn expander fa-solid fa-plus collapsed"" data-bs-target=""#collapse0011"" data-bs-toggle=""collapse"" type=""button"" aria-hidden=""true""></button> </div>","Alberta Grade 12 Courses English Language Arts 30-1 Four subjects from: Biology 30; Chemistry 30; an approved 30-level Fine Arts Course (only one Fine Arts course may be presented for admission); Aboriginal Studies 30; Social Studies 30-1; Mathematics 30-1; *Mathematics 30-2; Mathematics 31; Physics 30; Science 30; Computer Science - Advanced Level CTS (5 credits); 30-level language other than English. *Mathematics 30-2 may be used for admission to the Faculty of Arts. However, only one of Mathematics 30-1 or Mathematics 30-2 will be accepted. ** In order to maximize their future program and course choices, all students are encouraged to present a broad range of courses across the Humanities and Sciences. See additional requirements listed in the Notes below for specific majors and minors. Notes More than one language other than English may be accepted, but they must be different languages. The Faculty of Arts accepts proficiency in an Aboriginal language recognized in Canada (i.e. Cree, Slavey etc.) to meet a language other than English admission requirement. Proficiency is measured by either a test, administered by the university if such can be arranged, or by boards of examiners appointed by the university. Candidates having passed the required test of an Aboriginal language have their averages calculated on the remaining four matriculation subjects. To maximize their future program and course choices, all students are encouraged to present a broad range of subjects across the Humanities and Sciences. Only one Fine Arts Subject may be presented for admission. For a Minor in Arts and Cultural Management, applicants must submit a letter of permission directly to the Faculty of Arts. For a Major or Minor in Economics or Mathematics, students should present Mathematics 30-1. Mathematics 30-1 does not have to be included as one of the five subjects used for admission, but the discipline requires courses for which Mathematics 30-1 is a prerequisite. For a Major or Minor in Psychology, students should present Mathematics 30-1 or Mathematics 30-2 For a Major in Planning, students must present one of Mathematics 30-1 or Mathematics 30-2 and Social Studies 30-1 (or equivalent) For the BA in Environmental Studies, students must present Biology 30, one of Mathematics 30-1 or Mathematics 30-2, and one of Social Studies 30-1 (or equivalent) or a Language other than English at the 30-level, plus 2 other 30-level subjects.",competitive averages https://www.ualberta.ca/en/admissions/how-to-apply/admission-requirements/competitive-requirements.html | UAlberta admissions template with subject-count language,no,no
