institution,program_name,credential,source_url,decision,reason_code,rule_source,stage,evidence_notes
MacEwan,English (Major/Minor/Honours),Bachelor of Arts,https://calendar.macewan.ca/programs/degree-programs/ba-english/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,English as an Additional Language (EAL),,https://calendar.macewan.ca/programs/university-entrance/eal/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Environmental Sciences (Major),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-environmental-science/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Environmental Sciences Minor,Minor,https://calendar.macewan.ca/programs/min-babs-environmental-sciences/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Film Minor,Minor,https://calendar.macewan.ca/programs/min-babs-film/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Film Minor,Minor,https://calendar.macewan.ca/programs/min-bcs-film/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Finance Minor,Minor,https://calendar.macewan.ca/programs/min-babs-finance/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Finance Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-finance/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Foundation Program International,,https://calendar.macewan.ca/programs/university-entrance/foundation-international/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,French Minor,Minor,https://calendar.macewan.ca/programs/min-babs-french/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,French Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-french/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Gender Studies Minor,Minor,https://calendar.macewan.ca/programs/min-babs-gender-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,General (Major),Bachelor of Music,https://calendar.macewan.ca/programs/degree-programs/bmus-general/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Gerontology,Post-Diploma Certificate,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/gerontology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Graphic Design Minor,Minor,https://calendar.macewan.ca/programs/min-bcs-graphic-design,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Graphic Design Minor,Minor,https://calendar.macewan.ca/programs/min-bcs-graphic-design/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Hearing Aid Practitioner,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/hearing-aid-practitioner/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Hospice Palliative Care,Post-Diploma Certificate,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/hospice-palliative-care/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Human Resources Management,Certificate and Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/human-resources-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Human Resources Management (Major),Bachelor of Commerce,https://calendar.macewan.ca/programs/degree-programs/bcom-human-resources-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Human Resources Management Minor,Minor,https://calendar.macewan.ca/programs/min-babs-human-resource-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Human Resources Management Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-human-resources-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Human Service Administration,Bachelor of Applied Human Service Administration,https://calendar.macewan.ca/programs/applied-degree-programs/bahsa-human-service-admin/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Indigegogy Minor,Minor,https://calendar.macewan.ca/programs/min-babs-indigegogy/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Innovation and Entrepreneurship Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-innovation-and-entrepreneurship/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Insurance and Risk Management,Business Management Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/insurance-risk-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,International Business (Major),Bachelor of Commerce,https://calendar.macewan.ca/programs/degree-programs/bcom-international-business/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,International Business Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-international-business/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Investigative Studies,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/investigative-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Journalism (Major),Bachelor of Communication Studies,https://calendar.macewan.ca/programs/degree-programs/bcs-journalism/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Journalism Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-journalism/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Journalism Minor,Minor,https://calendar.macewan.ca/programs/min-bcs-journalism/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Legal Studies in Business (Major),Bachelor of Commerce,https://calendar.macewan.ca/programs/degree-programs/bcom-legal-studies-business/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Legal Studies in Business Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-legal-studies-in-business/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Library and Information Technology,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/library-information-technology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Management (Major),Bachelor of Commerce,https://calendar.macewan.ca/programs/degree-programs/bcom-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Management Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Marketing (Major),Bachelor of Commerce,https://calendar.macewan.ca/programs/degree-programs/bcom-marketing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Marketing Minor,Minor,https://calendar.macewan.ca/programs/min-babs-marketing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Marketing Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-marketing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Massage Therapy,,https://calendar.macewan.ca/programs/certificates-diplomas/massage-therapy/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Mathematical Sciences (Major),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-mathematical-sciences/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Mathematics (Major/Honours),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-mathematics/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Minors - Bachelor of Arts,Bachelor,https://calendar.macewan.ca/programs/degree-programs/ba-minors/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Minors - Bachelor of Commerce,Bachelor,https://calendar.macewan.ca/programs/degree-programs/bcom-minors/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Minors - Bachelor of Science,Bachelor,https://calendar.macewan.ca/programs/degree-programs/bsc-minors/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Minors - Fine Arts and Communication,,https://calendar.macewan.ca/programs/degree-programs/ffac-minors/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Music Career Management Minor,Minor,https://calendar.macewan.ca/programs/min-bmus-music-career-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Music Education Minor,Minor,https://calendar.macewan.ca/programs/min-bmus-music-education/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Music Technology and Production Minor,Minor,https://calendar.macewan.ca/programs/min-bmus-music-technology-production/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Music Theatre Performance (Major),Bachelor of Fine Arts,https://calendar.macewan.ca/programs/degree-programs/bfa-music-theatre-performance/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Nursing,Bachelor of Science in Nursing,https://calendar.macewan.ca/programs/degree-programs/bscn-nursing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Occupational Health Nursing (OHN),Post-Diploma Certificate,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/occupational-health-nursing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Office Assistant - Administrative major,Certificate,https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-administrative/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Office Assistant - Legal major,Certificate,https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-legal/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Office Assistant - Medical major,Certificate,https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-medical/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Paralegal Studies,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/paralegal-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Performance (Major),Bachelor of Music,https://calendar.macewan.ca/programs/degree-programs/bmus-performance/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Perioperative Nursing,Post-Diploma Certificate,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/perioperative-nursing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Philosophy (Major/Minor),Bachelor of Arts,https://calendar.macewan.ca/programs/degree-programs/ba-philosophy/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Physical Sciences (Major),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-physical-sciences/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Physical Therapist Assistant / Occupational Therapist Assistant,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/physical-occupational-therapist-assistant/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Physics Minor,Minor,https://calendar.macewan.ca/programs/min-babs-physics/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Planetary Physics Minor,Minor,https://calendar.macewan.ca/programs/min-babs-planetary-physics/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Police Studies,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/police-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Political Science (Major/Minor/Honours),Bachelor of Arts,https://calendar.macewan.ca/programs/degree-programs/ba-political-science/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Political Science Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-political-science/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Professional Communication (Major),Bachelor of Communication Studies,https://calendar.macewan.ca/programs/degree-programs/bcs-professional-communication/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Professional Communication Minor,Minor,https://calendar.macewan.ca/programs/min-bcs-professional-communication/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Property Management Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-property-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Psychiatric Nursing,Bachelor of Psychiatric Nursing,https://calendar.macewan.ca/programs/degree-programs/bpn-psychiatric-nursing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Psychology (Major/Minor/Honours),Bachelor of Arts,https://calendar.macewan.ca/programs/degree-programs/ba-psychology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Psychology (Major/Minor/Honours),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-psychology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Psychology Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-psychology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Public Relations,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/public-relations/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Public Relations (Major),Bachelor of Communication Studies,https://calendar.macewan.ca/programs/degree-programs/bcs-public-relations/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Recording and Production (Major),Bachelor of Music,https://calendar.macewan.ca/programs/degree-programs/bmus-recording-production/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Social Work,Bachelor of Social Work,https://calendar.macewan.ca/programs/degree-programs/bsw-social-work/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Social Work,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/social-work/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Sociology (Major/Minor/Honours),Bachelor of Arts,https://calendar.macewan.ca/programs/degree-programs/ba-sociology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Sociology Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-sociology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Songwriting Minor,Minor,https://calendar.macewan.ca/programs/min-bmus-songwriting/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Spanish Minor,Minor,https://calendar.macewan.ca/programs/min-babs-spanish/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Spanish Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-spanish/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Speech Language Pathologist Assistant,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/speech-language-pathologist-assistant/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Statistics Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-statistics/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Studio Arts (Major),Bachelor of Fine Arts,https://calendar.macewan.ca/programs/degree-programs/bfa-studio-arts/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Supply Chain Management (Major),Bachelor of Commerce,https://calendar.macewan.ca/programs/degree-programs/bcom-supply-chain-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Supply Chain Management Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-supply-chain-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Sustainability Studies,Certificate of Achievement,https://calendar.macewan.ca/programs/certificates-achievement/sustainability/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Theatre Production (Major),Bachelor of Fine Arts,https://calendar.macewan.ca/programs/degree-programs/bfa-theatre-production/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Travel and Tourism,,https://calendar.macewan.ca/programs/certificates-diplomas/travel/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Urban Wellness Minor,Minor,https://calendar.macewan.ca/programs/min-babs-urban-wellness/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,pimâcihisowin Foundation Program (PFP),,https://calendar.macewan.ca/programs/university-entrance/foundation-pimacihisowin/,keep,kept_non_target_institution,default_pass_through,index_filter,
NAIT,1. Application,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-1-complete-an-apprenticeship-application-c,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,2. Schedule,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-2-find-training-start-and-end-dates,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,3. Register,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-3-register-for-training,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,4. Create Account,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-4-create-a-mynait-portal-account,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,5 programs receive government funding for expansion,,https://www.nait.ca/nait/about/newsroom/2022/5-programs-receive-government-funding-for-expansio,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page'] | not a program page
NAIT,5. Confirmation,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-5-wait-for-registration-confirmation,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,6. Get Set Up,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-6-get-set-up-on-campus,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,AI and Data Governance for Innovation and Impact,Certificate,https://www.nait.ca/nait/continuing-education/programs/ai-and-data-governance-certificate,drop,dropped_blocked_url,blocked_url_patterns,index_filter,['No specific admission requirements listed in the provided text.']
NAIT,AI-Driven Project Management,,https://www.nait.ca/nait/continuing-education/programs/ai-driven-project-management,drop,dropped_blocked_url,blocked_url_patterns,index_filter,['Specific admission requirements are not listed in the provided text.']
NAIT,AWS Academy Cloud,,https://www.nait.ca/nait/continuing-education/programs/computer-training-centre/aws-academy-cloud-foundations,drop,dropped_blocked_url,blocked_url_patterns,index_filter,['No specific admission requirements listed in the provided text.']
NAIT,About,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/mawji-centre/about,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,Accomplishments,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/department-of-culinary-arts-and-professional-food/nait-olympic-culinary-team/accomplishments,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,Advanced Healthcare Leadership,,https://www.nait.ca/nait/continuing-education/programs/advanced-healthcare-leadership,drop,dropped_blocked_url,blocked_url_patterns,index_filter,['No specific admission requirements listed in the provided text.']
NAIT,Advanced Machining Centre Programming - Milling,Course / part of Computer Numerical Control (CNC) Certificate,https://www.nait.ca/nait/continuing-education/courses/mach206-advanced-machining-centre-programming,drop,dropped_blocked_url,blocked_url_patterns,index_filter,['This is a course-level page.']
NAIT,Advanced Turning Centre Programming - Lathe,Course / part of Computer Numerical Control (CNC) Certificate,https://www.nait.ca/nait/continuing-education/courses/mach306-advanced-turning-centre-programming,drop,dropped_blocked_url,blocked_url_patterns,index_filter,['This is a course-level page.']
NAIT,After Your Student Applies,,https://www.nait.ca/nait-authorized-agents/credit-program-students/after-your-student-applies,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
NAIT,Agentic AI Foundation,Certificate,https://www.nait.ca/nait/continuing-education/programs/agentic-ai-foundation,drop,dropped_blocked_url,blocked_url_patterns,index_filter,['Specific admission requirements are not listed in the provided text.']
NAIT,Alberta Advantage Immigration Program,,https://www.nait.ca/nait/international/immigration-visa-requirements/alberta-advantage-immigration-program,drop,dropped_evidence_non_program,evidence_not_program_tokens,index_filter,['not a program page']
